Country,injury_severity,aircraft_damage,aircraft_category,number_of_engines,engine_type,flight_purpose,weather_condition,fatal_injuries,serious_injuries,minor_injuries,uninjured,Year,make_model
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,CESSNA 180J
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,1.0,0.0,0.0,0.0,2009,BEECH A36
United States,Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,CIRRUS SR-22
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,CESSNA 305A
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,3.0,0.0,0.0,2009,CESSNA 182K
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,SIERRA E5A Replica
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,2.0,0.0,0.0,2009,GRUMMAN AMERICAN AVN. CORP. AA-1B
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,4.0,2009,BEECH V35
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Instructional,VMC,0.0,1.0,0.0,0.0,2009,CESSNA 172N
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,4.0,2009,PIPER PA46
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,WACO QCF-2
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,CESSNA T210J
United States,Non-Fatal,Destroyed,Airplane,1.0,Turbo Prop,Unknown,VMC,0.0,0.0,0.0,6.0,2009,CESSNA 208
Portugal,Fatal,Destroyed,Airplane,2.0,Reciprocating,Unknown,Unknown,3.0,0.0,0.0,0.0,2009,PIPER PA34
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,CESSNA 140
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,2.0,0.0,0.0,0.0,2009,QUAD CITY CHALLENGER II
United States,Non-Fatal,Substantial,Airplane,2.0,Turbo Prop,Personal,VMC,0.0,0.0,0.0,1.0,2009,Raytheon Aircraft Company B200
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Unknown,VMC,0.0,0.0,0.0,2.0,2009,PIPER PA-12
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,2.0,0.0,2009,CURTIS JOHN P SEA REY
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,1.0,0.0,2009,Diehl KR-2
United States,Non-Fatal,Substantial,Airplane,2.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,GRUMMAN G-44A
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,PIPER PA-18-180
Denmark,Unknown,Unknown,Airplane,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,0.0,2009,AIRBUS A319
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,Lewis Jennings NIEUPORT 11
United States,Non-Fatal,Substantial,Airplane,2.0,Turbo Prop,Unknown,VMC,0.0,0.0,0.0,2.0,2009,CASA 212-200
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Flight Test,VMC,0.0,0.0,0.0,1.0,2009,Bordelon Kitfox IV
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,Linke KR-2
United States,Non-Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,MCCLISH FUNK B85C
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Other Work Use,VMC,0.0,0.0,0.0,2.0,2009,PIPER PA-18
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,MOONEY AIRCRAFT CORP. M20K
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Air Race show,VMC,0.0,0.0,1.0,0.0,2009,CASSUTT III M
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,2.0,2.0,0.0,2009,BEECH A36
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,CESSNA 182
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,2.0,0.0,0.0,0.0,2009,CESSNA 172
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,Aviat Aircraft Inc A-1C-180
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,Daniel L Patrick Kolb Mark
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,3.0,2009,RYAN Navion
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,4.0,0.0,0.0,0.0,2009,PIPER PA-32R-301T
United States,Non-Fatal,Minor,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,BEECH V35
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,AEROMOT AMT200
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,PIPER PA-28-180
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,PIPER PA-22
